idx,audio_path,emotion,full_transcription,text_segments,audio_duration,audio_sequence_length,frames_per_text_segment,num_text_segments
0,hidden_state_0.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
1,hidden_state_1.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
2,hidden_state_2.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
3,hidden_state_3.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
4,hidden_state_4.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
5,hidden_state_5.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
6,hidden_state_6.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
7,hidden_state_7.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
8,hidden_state_8.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
9,hidden_state_9.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
10,hidden_state_10.pt,fear,This is a fear emotion sample,"[""fear segment 1"", ""fear segment 2"", ""fear segment 3"", ""fear segment 4"", ""fear segment 5"", ""fear segment 6"", ""fear segment 7""]",3.0,399,57,7
11,hidden_state_11.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
12,hidden_state_12.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
